                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.46819,                0.50965,                0.32181,                0.80062,                0.99651,                0.99225,                0.99497,                0.89049,                0.99604,                0.98264,                0.99459,                0.80315,                0.42927,                0.54502,                0.29804,                  0.813,              0.0007328,              0.0007328,              0.0007328
                     66,                0.45454,                0.49036,                0.31595,                0.79892,                0.99654,                0.99972,                0.99161,                0.88768,                0.99228,                0.99306,                0.99493,                0.78066,                0.42957,                0.58167,                0.30645,                0.81304,               0.000713,               0.000713,               0.000713
                     67,                0.47274,                 0.5223,                 0.3238,                0.80048,                0.99598,                0.98958,                0.99462,                 0.8988,                0.99947,                0.99306,                  0.995,                 0.7874,                0.42669,                0.55628,                0.28972,                0.80885,              0.0006932,              0.0006932,              0.0006932
                     68,                0.48095,                0.50821,                0.32199,                0.80519,                0.99882,                0.99306,                  0.995,                0.90422,                      1,                0.98826,                0.99486,                0.79893,                0.42775,                0.53037,                0.29252,                 0.8062,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.4637,                0.51745,                0.31345,                0.79734,                0.99378,                0.98958,                0.99483,                0.89882,                0.99587,                0.98958,                0.99191,                0.79029,                 0.4204,                0.53005,                0.29467,                0.80867,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.4626,                0.49949,                0.31627,                0.80258,                0.98964,                0.99502,                0.99086,                0.89643,                0.98825,                0.98958,                0.98794,                0.79941,                0.40789,                0.48459,                0.29006,                0.80768,              0.0006338,              0.0006338,              0.0006338
                     71,                0.45293,                 0.4968,                0.31035,                0.79826,                0.98962,                0.99306,                0.99282,                0.89972,                0.98866,                0.97917,                0.98811,                0.79987,                0.41008,                0.52104,                0.28788,                0.80909,               0.000614,               0.000614,               0.000614
                     72,                0.45255,                0.49097,                0.30783,                0.79811,                0.99544,                0.99306,                0.99389,                0.89325,                0.99544,                0.99306,                0.99497,                0.78454,                0.41451,                0.52633,                0.28997,                 0.8063,              0.0005942,              0.0005942,              0.0005942
                     73,                0.46153,                0.50595,                0.31347,                0.80055,                 0.9965,                0.98866,                0.99438,                0.89709,                  0.993,                0.98523,                0.98975,                0.78993,                0.43008,                0.54138,                0.29349,                0.80893,              0.0005744,              0.0005744,              0.0005744
                     74,                0.45966,                0.50987,                0.30632,                0.80018,                0.98947,                0.99653,                0.99493,                 0.8878,                0.99563,                0.98264,                0.99344,                0.79626,                 0.4321,                0.60191,                0.28299,                0.80876,              0.0005546,              0.0005546,              0.0005546
                     75,                0.46675,                0.52052,                0.31077,                0.79897,                0.99743,                0.98958,                0.99493,                0.88999,                      1,                0.98441,                0.99441,                0.80897,                0.42456,                0.57813,                0.28598,                0.80645,              0.0005348,              0.0005348,              0.0005348
                     76,                0.47331,                0.51217,                0.31264,                0.80456,                0.99308,                0.99628,                0.99493,                0.89662,                0.99296,                0.97898,                0.99226,                0.80805,                0.43282,                 0.5082,                 0.3045,                  0.807,               0.000515,               0.000515,               0.000515
                     77,                0.44862,                0.48924,                0.30022,                0.79823,                      1,                0.98897,                0.99497,                0.89968,                0.99621,                0.98264,                0.99098,                0.79552,                0.40345,                0.52174,                 0.2817,                0.80738,              0.0004952,              0.0004952,              0.0004952
                     78,                0.43431,                 0.4715,                0.29699,                 0.7929,                      1,                0.98883,                0.99493,                0.89985,                0.99603,                0.98264,                0.99344,                0.80804,                0.42137,                 0.5196,                0.27688,                0.80715,              0.0004754,              0.0004754,              0.0004754
                     79,                0.45837,                0.51408,                0.30449,                0.80056,                0.99892,                0.99653,                  0.995,                0.90127,                  0.993,                0.98513,                0.99152,                0.80149,                0.40661,                0.54628,                0.27651,                0.80671,              0.0004556,              0.0004556,              0.0004556
                     80,                0.44155,                0.48844,                0.29852,                0.79732,                0.99937,                0.99306,                  0.995,                0.89155,                0.99238,                0.98611,                0.99121,                0.79409,                0.43006,                0.54118,                0.28062,                0.80838,              0.0004358,              0.0004358,              0.0004358
                     81,                0.45407,                0.49461,                0.30102,                0.79569,                0.99588,                0.98611,                0.99483,                0.90124,                0.99237,                0.98264,                0.99357,                0.79969,                0.41309,                0.53845,                0.27831,                0.80652,               0.000416,               0.000416,               0.000416
